State,Region
CT,Northest
ME,Northest
MA,Northest
NH,Northest
NJ,Northest
NY,Northest
PA,Northest
RI,Northest
VT,Northest
IL,Midwest
IN,Midwest
IA,Midwest
KS,Midwest
MI,Midwest
MN,Midwest
MO,Midwest
NE,Midwest
ND,Midwest
OH,Midwest
SD,Midwest
WI,Midwest
AL,South
AR,South
DE,South
DC,South
FL,South
GA,South
KY,South
LA,South
MD,South
MS,South
NC,South
OK,South
SC,South
TN,South
TX,South
VA,South
WV,South
AK,West
AZ,West
CA,West
CO,West
HI,West
ID,West
MT,West
NV,West
NM,West
OR,West
UT,West
WA,West
WY,West
